loan_id,payer_id,program_id,loan_amount,interest_rate,loan_term_years,loan_term_months,loan_type,institution_name,institution_city,institution_province,education_value,down_payment,ltv_ratio,origination_date,disbursement_date,maturity_date,current_balance,loan_status,lender,program_duration_years,monthly_payment,grace_period_months
25,25,14,291028.73,7.206,25,300,Education Line of Credit,University of Waterloo,Waterloo,Ontario,373827.8089007067,82799.07890070672,77.85,2023-02-02,2024-09-03,2048-02-02,278801.54,Active,Scotiabank Student Line of Credit,4,2095.33,6
26,26,11,213114.77,8.471,15,180,Parent PLUS Loan,Dalhousie University,Halifax,Nova Scotia,257919.3579070613,44804.5879070613,82.63,2025-11-02,2026-01-29,2040-11-02,213114.77,In Grace Period,Bank of Montreal,5,2095.0,6
27,27,37,234577.32,4.068,20,240,Graduate Student Loan,Memorial University,St. John's,Newfoundland,296965.1459704157,62387.825970415666,78.99,2021-10-02,2023-05-02,2041-10-02,201553.84,Active,Bank of Montreal,5,1429.91,6
28,28,14,221610.04,6.167,25,300,Private Education Loan,Queen's University,Kingston,Ontario,360065.0344087982,138454.9944087982,61.55,2021-07-02,2022-05-14,2046-07-02,203491.1,Active,BMO Student Banking Program,4,1450.54,6
29,29,23,113262.68,2.603,15,180,Graduate Student Loan,University of Alberta,Edmonton,Alberta,155411.34183881868,42148.66183881869,72.88,2023-09-02,2023-10-11,2038-09-02,103283.48,Active,TD Canada Trust,3,760.73,12
30,30,9,397400.85,10.547,25,300,Private Education Loan,McGill University,Montreal,Quebec,466412.731788653,69011.88178865303,85.2,2023-09-02,2023-11-11,2048-09-02,387731.42,Active,TD Canada Trust,5,3765.53,0
31,31,30,304258.64,5.316,25,300,Student Loan,Queen's University,Kingston,Ontario,343067.9275398657,38809.287539865705,88.69,2020-09-02,2023-09-15,2045-09-02,270217.93,Active,National Bank of Canada,4,1835.13,6
32,32,36,77951.29,2.501,25,300,Professional Student Loan,University of Manitoba,Winnipeg,Manitoba,119245.25436041885,41293.96436041886,65.37,2022-11-02,2022-12-27,2047-11-02,72358.74,Active,Provincial Student Aid,2,349.74,12
33,33,35,233891.89,3.776,20,240,Professional Student Loan,University of Saskatchewan,Saskatoon,Saskatchewan,358455.2457879,124563.35578789999,65.25,2023-02-02,2023-09-11,2043-02-02,211913.5,Active,Canada Student Loans Program,4,1389.88,6
34,34,7,235155.72,3.055,25,300,Student Loan,University of Alberta,Edmonton,Alberta,293639.20439308684,58483.48439308684,80.08,2021-05-02,2024-01-10,2046-05-02,209068.57,Active,Scotiabank Student Line of Credit,3,1121.87,12
35,35,41,91271.83,2.528,20,240,Graduate Student Loan,Carleton University,Ottawa,Ontario,104322.18754016203,13050.357540162033,87.49,2025-10-02,2025-11-22,2045-10-02,89506.84,Active,TD Student Line of Credit,2,484.9,0
36,36,15,95730.41,3.605,25,300,Graduate Student Loan,University of Victoria,Victoria,British Columbia,118529.23221910826,22798.82221910826,80.77,2025-06-02,2025-08-17,2050-06-02,95730.41,In Grace Period,CIBC,2,484.66,12
37,37,8,85146.18,6.834,15,180,Parent PLUS Loan,McGill University,Montreal,Quebec,138127.8739643193,52981.6939643193,61.64,2024-07-02,2024-09-20,2039-07-02,79085.05,Active,Scotiabank Student Line of Credit,2,757.44,0
38,38,31,249431.18,4.946,15,180,Education Line of Credit,University of Victoria,Victoria,British Columbia,352818.86645066115,103387.68645066116,70.7,2021-12-02,2024-05-13,2036-12-02,195192.49,Active,Provincial Student Aid,5,1965.48,0
39,39,36,91985.01,3.927,25,300,Student Loan,Simon Fraser University,Burnaby,British Columbia,116933.85916199596,24948.849161995968,78.66,2024-07-02,2024-09-02,2049-07-02,88061.13,Active,TD Canada Trust,2,481.83,0
40,40,11,147176.3,9.837,20,240,Private Education Loan,York University,Toronto,Ontario,198685.85402745416,51509.55402745417,74.07,2021-05-02,2023-05-09,2041-05-02,134102.73,Active,TD Student Line of Credit,4,1404.43,6
41,41,23,225172.69,4.563000000000001,15,180,Graduate Student Loan,University of Alberta,Edmonton,Alberta,335678.8639335823,110506.17393358232,67.08,2025-05-02,2025-07-03,2040-05-02,215378.34,Active,BMO Student Banking Program,5,1729.81,0
42,42,1,148287.99,4.205,25,300,Student Loan,University of Toronto,Toronto,Ontario,203855.67866422894,55567.68866422895,72.74,2025-12-02,2026-01-09,2050-12-02,148287.99,In Grace Period,TD Canada Trust,4,799.6,12
43,43,33,75603.77,5.91,15,180,Education Line of Credit,Memorial University,St. John's,Newfoundland,118171.6762488452,42567.90624884519,63.98,2023-02-02,2023-05-10,2038-02-02,64685.96,Active,Bank of Montreal,2,634.32,0
44,44,3,295830.45,3.919,25,300,Student Loan,York University,Toronto,Ontario,437031.9771276823,141201.5271276823,67.69,2021-10-02,2022-09-15,2046-10-02,261511.99,Active,BMO Student Banking Program,5,1548.3,0
45,45,1,216165.65,9.528,25,300,Private Education Loan,University of Calgary,Calgary,Alberta,357901.63911231357,141735.98911231357,60.4,2019-10-02,2024-05-03,2044-10-02,200634.73,Active,Bank of Nova Scotia,5,1892.84,12
46,46,22,251194.55,8.044,25,300,Parent PLUS Loan,University of Victoria,Victoria,British Columbia,304811.149537582,53616.59953758202,82.41,2022-09-02,2023-05-06,2047-09-02,242191.91,Active,TD Student Line of Credit,4,1946.09,12
47,47,31,202872.9,2.715,25,300,Student Loan,University of Alberta,Edmonton,Alberta,227100.00591516853,24227.105915168533,89.33,2020-10-02,2022-01-15,2045-10-02,172497.45,Active,TD Canada Trust,3,932.24,6
48,48,23,161564.98,5.678,15,180,Education Line of Credit,Queen's University,Kingston,Ontario,210761.7865664507,49196.80656645069,76.66,2023-09-02,2023-10-04,2038-09-02,142549.59,Active,TD Canada Trust,4,1335.43,0
49,49,38,197085.31,3.034,15,180,Student Loan,University of Calgary,Calgary,Alberta,303524.882876791,106439.572876791,64.93,2023-01-02,2023-03-04,2038-01-02,161638.63,Active,Bank of Montreal,5,1364.26,0
50,50,9,157711.51,9.625,15,180,Private Education Loan,York University,Toronto,Ontario,221687.25535743742,63975.74535743741,71.14,2019-12-02,2022-09-14,2034-12-02,115982.91,Active,Provincial Student Aid,4,1658.78,0
51,51,22,292166.81,4.636,25,300,Student Loan,Dalhousie University,Halifax,Nova Scotia,392440.25629385223,100273.44629385223,74.45,2024-10-02,2024-11-22,2049-10-02,282532.9,Active,Canada Student Loans Program,5,1646.59,0
52,52,6,186315.81,3.675,15,180,Graduate Student Loan,University of Saskatchewan,Saskatoon,Saskatchewan,236925.4609232549,50609.6509232549,78.64,2025-07-02,2025-08-17,2040-07-02,179232.74,Active,Canada Student Loans Program,3,1348.01,0
53,53,2,167384.06,6.002,25,300,Education Line of Credit,University of Calgary,Calgary,Alberta,260992.47022428294,93608.41022428294,64.13,2021-04-02,2022-01-02,2046-04-02,154320.89,Active,Bank of Montreal,5,1078.66,12
54,54,39,195693.83,4.229,20,240,Graduate Student Loan,Memorial University,St. John's,Newfoundland,226042.94368120667,30349.113681206683,86.57,2025-05-02,2025-06-22,2045-05-02,193075.67,In Deferment,BMO Student Banking Program,4,1209.61,6
55,55,40,202189.0,7.047,20,240,Education Line of Credit,University of Saskatchewan,Saskatoon,Saskatchewan,230802.65578292782,28613.655782927817,87.6,2022-09-02,2022-10-28,2042-09-02,183373.44,Active,Bank of Montreal,3,1573.28,0
56,56,36,71344.11,4.292,15,180,Graduate Student Loan,University of Ottawa,Ottawa,Ontario,103426.10787442033,32081.997874420325,68.98,2023-06-02,2023-08-01,2038-06-02,63023.9,Active,Bank of Nova Scotia,2,538.22,6
57,57,18,121550.97,4.277,20,240,Student Loan,University of Ottawa,Ottawa,Ontario,150809.42762452955,29258.457624529547,80.6,2023-08-02,2023-09-13,2043-08-02,110683.66,Active,Scotiabank Student Line of Credit,2,754.44,0
58,58,16,159910.62,4.466,25,300,Student Loan,NAIT,Edmonton,Alberta,222075.80437982362,62165.18437982362,72.01,2019-10-02,2023-05-07,2044-10-02,133277.31,Active,CIBC,4,885.75,0
59,59,31,252318.05,5.277,25,300,Education Line of Credit,Concordia University,Montreal,Quebec,335257.75771128986,82939.70771128987,75.26,2022-01-02,2022-05-08,2047-01-02,235066.73,Active,Scotiabank Student Line of Credit,5,1516.03,12
60,60,2,133993.13,4.029999999999999,15,180,Graduate Student Loan,Memorial University,St. John's,Newfoundland,159568.05441684794,25574.924416847934,83.97,2022-03-02,2023-09-04,2037-03-02,112632.64,Active,Royal Bank of Canada,2,993.15,12
61,61,28,193685.42,3.101,20,240,Graduate Student Loan,Concordia University,Montreal,Quebec,242978.72168530562,49293.3016853056,79.71,2022-01-02,2023-05-14,2042-01-02,169776.03,Active,Bank of Nova Scotia,3,1083.99,12
62,62,26,221192.54,3.899,25,300,Student Loan,Carleton University,Ottawa,Ontario,276575.05545625475,55382.51545625474,79.98,2024-04-02,2024-05-22,2049-04-02,215859.37,Active,Bank of Montreal,5,1155.24,12
63,63,15,269874.41,4.997,20,240,Professional Student Loan,University of Saskatchewan,Saskatoon,Saskatchewan,401279.3814068057,131404.97140680574,67.25,2018-07-02,2022-01-11,2038-07-02,205836.3,Active,BMO Student Banking Program,5,1780.6,12
64,64,19,92435.48,6.968,15,180,Education Line of Credit,Dalhousie University,Halifax,Nova Scotia,147631.94612650835,55196.466126508356,62.61,2022-01-02,2024-09-11,2037-01-02,79676.95,In Forbearance,Provincial Student Aid,2,829.18,12
65,65,39,94098.83,4.42,25,300,Professional Student Loan,Concordia University,Montreal,Quebec,144342.02235942974,50243.19235942974,65.19,2023-03-02,2023-04-06,2048-03-02,88455.87,Active,Royal Bank of Canada,2,518.77,6
66,66,18,217701.86,3.221,20,240,Student Loan,University of Saskatchewan,Saskatoon,Saskatchewan,318669.10120717844,100967.24120717845,68.32,2020-04-02,2023-09-11,2040-04-02,170261.73,Active,CIBC,4,1231.6,6
67,67,4,223217.09,3.621,15,180,Graduate Student Loan,Ryerson University,Toronto,Ontario,250951.33460659173,27734.244606591732,88.95,2025-12-02,2026-02-24,2040-12-02,223217.09,In Grace Period,TD Canada Trust,5,1609.04,6
68,68,5,201921.85,5.654,20,240,Education Line of Credit,Carleton University,Ottawa,Ontario,231278.7459704249,29356.8959704249,87.31,2024-02-02,2024-09-09,2044-02-02,192398.01,Active,National Bank of Canada,3,1406.62,6
69,69,27,317786.69,7.426,15,180,Private Education Loan,University of Waterloo,Waterloo,Ontario,432331.3565591179,114544.6665591179,73.51,2018-07-02,2024-05-05,2033-07-02,205240.7,Active,CIBC,5,2932.57,6
70,70,14,287295.9,6.095,15,180,Parent PLUS Loan,University of Waterloo,Waterloo,Ontario,427889.7215364264,140593.82153642637,67.14,2021-12-02,2023-05-09,2036-12-02,229145.56,Active,Scotiabank Student Line of Credit,5,2439.14,0
71,71,14,188075.9,5.401,25,300,Professional Student Loan,University of Victoria,Victoria,British Columbia,289541.50120709336,101465.60120709336,64.96,2023-02-02,2023-03-18,2048-02-02,175782.5,Active,Bank of Montreal,4,1143.86,0
72,72,9,327989.13,3.021,20,240,Professional Student Loan,University of Ottawa,Ottawa,Ontario,459826.12960025953,131836.99960025953,71.33,2019-09-02,2023-05-01,2039-09-02,239773.89,Active,TD Student Line of Credit,5,1822.47,0
73,73,3,71777.9,7.858,25,300,Education Line of Credit,University of Manitoba,Winnipeg,Manitoba,115470.68526891981,43692.78526891982,62.16,2025-01-02,2025-04-02,2050-01-02,71064.32,Active,National Bank of Canada,2,547.26,6
74,74,26,172408.91,3.737,25,300,Professional Student Loan,University of Saskatchewan,Saskatoon,Saskatchewan,231788.46903796558,59379.55903796558,74.38,2020-12-02,2024-01-11,2045-12-02,147784.87,Active,Royal Bank of Canada,4,885.19,0
75,75,31,156909.06,5.718,20,240,Education Line of Credit,Carleton University,Ottawa,Ontario,178014.93773783365,21105.877737833653,88.14,2024-03-02,2024-05-11,2044-03-02,149944.28,Active,TD Student Line of Credit,2,1098.77,6
76,76,41,228164.78,10.286,15,180,Private Education Loan,Ryerson University,Toronto,Ontario,306686.22300430364,78521.44300430364,74.4,2021-11-02,2023-05-08,2036-11-02,197291.61,Active,Scotiabank Student Line of Credit,5,2491.95,6
77,77,38,53680.29,7.759,20,240,Parent PLUS Loan,University of British Columbia,Vancouver,British Columbia,88501.02319092325,34820.73319092325,60.65,2025-02-02,2025-03-30,2045-02-02,52911.89,Active,CIBC,2,440.99,6
78,78,1,201258.34,10.501,20,240,Parent PLUS Loan,University of Alberta,Edmonton,Alberta,294226.33226366196,92967.99226366196,68.4,2024-07-02,2024-09-02,2044-07-02,198943.99,Active,Bank of Nova Scotia,4,2009.46,12
79,79,9,247916.9,4.172000000000001,25,300,Student Loan,University of Ottawa,Ottawa,Ontario,309439.6258544482,61522.72585444819,80.12,2024-11-02,2025-01-30,2049-11-02,242652.37,Active,RBC Student Banking,4,1332.26,6
80,80,40,85227.18,5.895,25,300,Parent PLUS Loan,Ryerson University,Toronto,Ontario,139135.35429407112,53908.17429407113,61.25,2026-01-02,2026-04-01,2051-01-02,85227.18,In Grace Period,Bank of Montreal,2,543.66,12
81,81,35,226354.46,6.069,15,180,Private Education Loan,University of Manitoba,Winnipeg,Manitoba,311694.311883501,85339.85188350102,72.62,2021-11-02,2023-05-14,2036-11-02,191199.52,Active,TD Canada Trust,4,1918.56,12
82,82,11,101464.95,4.571,25,300,Graduate Student Loan,University of Manitoba,Winnipeg,Manitoba,157573.8418479688,56108.891847968815,64.39,2022-03-02,2023-01-04,2047-03-02,91703.65,Active,National Bank of Canada,3,568.07,0
83,83,13,134189.76,3.245,15,180,Graduate Student Loan,York University,Toronto,Ontario,151526.18190164238,17336.421901642374,88.56,2024-10-02,2024-12-09,2039-10-02,127128.81,Active,National Bank of Canada,2,942.58,6
84,84,33,207991.93,3.866,15,180,Professional Student Loan,University of Alberta,Edmonton,Alberta,258249.31820654497,50257.38820654497,80.54,2020-02-02,2023-01-13,2035-02-02,148413.42,Active,TD Student Line of Credit,4,1524.56,12
85,85,2,234941.34,4.334,15,180,Student Loan,University of Saskatchewan,Saskatoon,Saskatchewan,366540.9032271942,131599.56322719422,64.1,2018-10-02,2023-05-01,2033-10-02,150195.32,Active,National Bank of Canada,5,1777.42,12
86,86,2,84169.19,4.493,15,180,Graduate Student Loan,University of Ottawa,Ottawa,Ontario,98550.69633090554,14381.50633090554,85.41,2022-06-02,2024-05-08,2037-06-02,67715.17,In Forbearance,BMO Student Banking Program,2,643.59,0
87,87,1,141145.21,3.146,15,180,Student Loan,University of Calgary,Calgary,Alberta,163953.56239670777,22808.352396707778,86.09,2024-01-02,2024-05-13,2039-01-02,127893.94,Active,BMO Student Banking Program,3,984.66,6
88,88,6,258832.64,3.628,20,240,Graduate Student Loan,Carleton University,Ottawa,Ontario,296000.0556585711,37167.41565857106,87.44,2019-07-02,2022-05-02,2039-07-02,196083.01,Active,TD Canada Trust,4,1518.21,6
89,89,25,144033.36,8.788,15,180,Private Education Loan,University of British Columbia,Vancouver,British Columbia,180824.07408471528,36790.71408471529,79.65,2022-09-02,2023-09-09,2037-09-02,127614.0,Active,RBC Student Banking,4,1442.77,6
90,90,18,109884.51,6.055,20,240,Education Line of Credit,Concordia University,Montreal,Quebec,169600.91937504214,59716.409375042145,64.79,2025-05-02,2025-06-10,2045-05-02,109884.51,In Grace Period,Canada Student Loans Program,2,790.74,12
91,91,2,230920.28,8.056000000000001,15,180,Parent PLUS Loan,York University,Toronto,Ontario,319692.44647072,88772.16647072,72.23,2021-05-02,2023-09-08,2036-05-02,183044.21,In Forbearance,Provincial Student Aid,4,2214.27,0
92,92,1,189264.64,11.925,25,300,Private Education Loan,University of Waterloo,Waterloo,Ontario,214986.8498560714,25722.209856071393,88.04,2025-12-02,2026-02-16,2050-12-02,189264.64,In Grace Period,BMO Student Banking Program,4,1982.9,6
93,93,39,61819.29,11.553,15,180,Private Education Loan,York University,Toronto,Ontario,95280.84951291559,33461.55951291559,64.88,2021-08-02,2023-09-01,2036-08-02,53579.04,Active,Canada Student Loans Program,2,724.25,6
94,94,17,210479.58,2.558,25,300,Student Loan,University of Calgary,Calgary,Alberta,260931.4166480822,50451.836648082215,80.66,2024-03-02,2024-05-20,2049-03-02,203872.96,Active,Provincial Student Aid,5,950.41,12
95,95,24,70398.21,3.947,25,300,Student Loan,University of Calgary,Calgary,Alberta,96806.58628574188,26408.376285741877,72.72,2025-12-02,2026-01-21,2050-12-02,70398.21,In Grace Period,RBC Student Banking,2,369.53,12
96,96,12,211096.24,5.868,15,180,Education Line of Credit,Dalhousie University,Halifax,Nova Scotia,273643.3253896156,62547.08538961562,77.14,2024-11-02,2025-01-25,2039-11-02,198116.71,Active,TD Student Line of Credit,4,1766.33,0
97,97,22,181619.64,11.686,20,240,Private Education Loan,NAIT,Edmonton,Alberta,266056.62024610594,84436.98024610593,68.26,2025-02-02,2025-04-27,2045-02-02,178762.12,Active,BMO Student Banking Program,4,1960.17,0
98,98,26,123999.29,11.237,15,180,Private Education Loan,Ryerson University,Toronto,Ontario,189778.08119500894,65778.79119500895,65.34,2023-07-02,2023-09-10,2038-07-02,113741.3,Active,Provincial Student Aid,4,1427.88,0
99,99,22,288044.34,8.757,20,240,Private Education Loan,Queen's University,Kingston,Ontario,377816.48932069284,89772.14932069281,76.24,2025-02-02,2025-04-18,2045-02-02,284394.03,Active,Bank of Nova Scotia,5,2546.77,6
100,100,10,171083.76,4.296,15,180,Student Loan,Concordia University,Montreal,Quebec,201364.4639005793,30280.703900579305,84.96,2025-04-02,2025-06-10,2040-04-02,166975.95,Active,Scotiabank Student Line of Credit,4,1291.01,6
101,101,36,167420.69,7.955,25,300,Parent PLUS Loan,University of Victoria,Victoria,British Columbia,259290.34372264895,91869.65372264895,64.57,2020-07-02,2023-09-07,2045-07-02,154928.08,Active,Provincial Student Aid,3,1287.19,12
102,102,37,364965.95,3.688,15,180,Student Loan,University of Victoria,Victoria,British Columbia,447508.8349740955,82542.8849740955,81.56,2024-11-02,2024-12-10,2039-11-02,338459.15,Active,CIBC,5,2642.9,0
103,103,39,138264.86,3.762,25,300,Student Loan,Queen's University,Kingston,Ontario,171538.2943243878,33273.43432438781,80.6,2024-05-02,2024-06-18,2049-05-02,135155.05,Active,Bank of Nova Scotia,2,711.77,12
104,104,5,136027.5,3.848,25,300,Graduate Student Loan,Simon Fraser University,Burnaby,British Columbia,169420.1796793734,33392.679679373396,80.29,2026-04-02,2026-06-20,2051-04-02,136027.5,In Deferment,Bank of Montreal,3,706.64,0
105,105,18,283565.3,7.32,15,180,Education Line of Credit,University of British Columbia,Vancouver,British Columbia,370087.82284484606,86522.52284484607,76.62,2025-03-02,2025-04-04,2040-03-02,277362.6,Active,CIBC,5,2599.76,6
106,106,10,66880.27,7.137,15,180,Education Line of Credit,Carleton University,Ottawa,Ontario,92284.13846566287,25403.86846566286,72.47,2025-07-02,2025-08-29,2040-07-02,66251.03,Active,Royal Bank of Canada,2,606.27,6
107,107,23,76320.0,12.312,15,180,Parent PLUS Loan,University of Saskatchewan,Saskatoon,Saskatchewan,102144.02198972087,25824.021989720874,74.72,2025-08-02,2025-09-07,2040-08-02,75090.11,Active,Provincial Student Aid,2,931.34,0
108,108,13,142702.76,8.286,15,180,Education Line of Credit,University of Calgary,Calgary,Alberta,188258.15816081557,45555.39816081556,75.8,2025-06-02,2025-08-23,2040-06-02,141077.85,Active,Canada Student Loans Program,2,1387.41,6
109,109,8,320246.67,3.116,15,180,Professional Student Loan,McMaster University,Hamilton,Ontario,360152.1889398913,39905.518939891306,88.92,2023-12-02,2024-01-14,2038-12-02,279701.96,Active,Canada Student Loans Program,5,2229.47,0
110,110,14,96128.57,2.784,20,240,Student Loan,NAIT,Edmonton,Alberta,149743.14112496236,53614.57112496236,64.2,2026-03-02,2026-05-24,2046-03-02,95828.8,Active,Bank of Montreal,3,522.79,0
111,111,35,182851.49,11.182,15,180,Parent PLUS Loan,University of Ottawa,Ottawa,Ontario,291420.0165600028,108568.52656000282,62.75,2025-12-02,2026-02-03,2040-12-02,181247.82,Active,Bank of Montreal,4,2099.23,0
112,112,14,183637.87,4.922,25,300,Graduate Student Loan,University of Ottawa,Ottawa,Ontario,280828.24395187316,97190.37395187316,65.39,2020-10-02,2024-01-04,2045-10-02,160045.96,Active,TD Student Line of Credit,5,1065.2,0
113,113,9,172381.19,8.95,25,300,Parent PLUS Loan,University of Waterloo,Waterloo,Ontario,265238.96117480437,92857.77117480437,64.99,2019-12-02,2022-01-11,2044-12-02,157937.38,Active,Canada Student Loans Program,4,1440.72,6
114,114,23,146050.33,8.808,15,180,Private Education Loan,Memorial University,St. John's,Newfoundland,213849.69547657165,67799.36547657166,68.3,2024-12-02,2025-01-22,2039-12-02,144462.17,Active,CIBC,3,1464.7,12
115,115,35,257629.42,3.553,25,300,Graduate Student Loan,McGill University,Montreal,Quebec,358175.340310798,100545.92031079801,71.93,2020-03-02,2024-05-07,2045-03-02,217447.53,Active,RBC Student Banking,4,1297.09,6
116,116,18,138632.17,8.271,15,180,Education Line of Credit,University of Manitoba,Winnipeg,Manitoba,198267.4864484985,59635.31644849849,69.92,2020-06-02,2023-01-11,2035-06-02,106697.73,Active,Bank of Nova Scotia,3,1346.62,6
117,117,17,77753.17,10.422,25,300,Private Education Loan,NAIT,Edmonton,Alberta,126339.80343123042,48586.633431230424,61.54,2023-05-02,2023-06-21,2048-05-02,75534.44,Active,TD Student Line of Credit,3,729.8,0
118,118,33,128836.22,10.896,20,240,Private Education Loan,University of Toronto,Toronto,Ontario,185182.62634788908,56346.406347889075,69.57,2020-09-02,2023-09-04,2040-09-02,118133.73,In Deferment,Royal Bank of Canada,4,1320.73,12
119,119,40,387332.37,3.991,15,180,Graduate Student Loan,McMaster University,Hamilton,Ontario,465585.9897242279,78253.61972422793,83.19,2020-02-02,2023-09-15,2035-02-02,253412.53,In Deferment,TD Canada Trust,5,2863.3,0
120,120,1,156959.44,12.229,25,300,Parent PLUS Loan,Memorial University,St. John's,Newfoundland,178126.17027473563,21166.73027473563,88.12,2023-04-02,2023-09-06,2048-04-02,154161.35,Active,RBC Student Banking,2,1679.76,6
